FILENAME	Monkey	Month..round.	Year	Month	Day	Cell.Type	Experiment	Other	Run	GIVENNAME
M11021072_1m____T___IY34_sampled_IY34_i514_S11_L005_R1_001.fastq	M11021072	1m	NA	NA	NA	T	NA	NA	IY34	M11021072 1m    T   IY34
M11021072_1m____B___IY34_sampled_IY34_i515_S12_L005_R1_001.fastq	M11021072	1m	NA	NA	NA	B	NA	NA	IY34	M11021072 1m    B   IY34
M11021072_1m____Mono___IY34_sampled_IY34_i516_S13_L005_R1_001.fastq	M11021072	1m	NA	NA	NA	Mono	NA	NA	IY34	M11021072 1m    Mono   IY34
M11021072_1m____NK___IY34_sampled_IY34_i518_S14_L005_R1_001.fastq	M11021072	1m	NA	NA	NA	NK	NA	NA	IY34	M11021072 1m    NK   IY34
M11021072_1m____Grans___IY34_sampled_IY34_i519_S15_L005_R1_001.fastq	M11021072	1m	NA	NA	NA	Grans	NA	NA	IY34	M11021072 1m    Grans   IY34
M11021072_2m____T_CELL___LT15_sampled_LT15_i501_S1_L007_R1_001.fastq	M11021072	2m	NA	NA	NA	T CELL	NA	NA	LT15	M11021072 2m    T CELL   LT15
M11021072_2m____B_CELL___LT15_sampled_LT15_i502_S2_L007_R1_001.fastq	M11021072	2m	NA	NA	NA	B CELL	NA	NA	LT15	M11021072 2m    B CELL   LT15
M11021072_2m____MONO___LT15_sampled_LT15_i503_S3_L007_R1_001.fastq	M11021072	2m	NA	NA	NA	MONO	NA	NA	LT15	M11021072 2m    MONO   LT15
M11021072_2m____NK___LT15_sampled_LT15_i504_S4_L007_R1_001.fastq	M11021072	2m	NA	NA	NA	NK	NA	NA	LT15	M11021072 2m    NK   LT15
M11021072_2m____GRANS___LT15_sampled_LT15_i505_S5_L007_R1_001.fastq	M11021072	2m	NA	NA	NA	GRANS	NA	NA	LT15	M11021072 2m    GRANS   LT15
M11021072__2018_3_29_GFP_YFP_mix____LT15_sampled_LT15_i506_S6_L007_R1_001.fastq	M11021072	NA	NA	NA	NA	GFP YFP mix 	NA	NA	LT15	M11021072  2018 3 29 GFP YFP mix    LT15
M11021072_3m__T__LT19_sampled_LT19_i501_S25_L005_R1_001.fastq	M11021072	3m	NA	NA	NA	T	NA	NA	LT19	M11021072 3m  T  LT19
M11021072_3m__B__LT19_sampled_LT19_i502_S26_L005_R1_001.fastq	M11021072	3m	NA	NA	NA	B	NA	NA	LT19	M11021072 3m  B  LT19
M11021072_3m__Mono__LT19_sampled_LT19_i503_S27_L005_R1_001.fastq	M11021072	3m	NA	NA	NA	Mono	NA	NA	LT19	M11021072 3m  Mono  LT19
M11021072_3m__NK__LT19_sampled_LT19_i504_S28_L005_R1_001.fastq	M11021072	3m	NA	NA	NA	NK	NA	NA	LT19	M11021072 3m  NK  LT19
M11021072_3m__Grans__LT19_sampled_LT19_i505_S29_L005_R1_001.fastq	M11021072	3m	NA	NA	NA	Grans	NA	NA	LT19	M11021072 3m  Grans  LT19
M11021072_4m__T__LT19_sampled_LT19_i506_S30_L005_R1_001.fastq	M11021072	4m	NA	NA	NA	T	NA	NA	LT19	M11021072 4m  T  LT19
M11021072_4m__B__LT19_sampled_LT19_i507_S31_L005_R1_001.fastq	M11021072	4m	NA	NA	NA	B	NA	NA	LT19	M11021072 4m  B  LT19
M11021072_4m__Mono__LT19_sampled_LT19_i510_S32_L005_R1_001.fastq	M11021072	4m	NA	NA	NA	Mono	NA	NA	LT19	M11021072 4m  Mono  LT19
M11021072_4m__NK__LT19_sampled_LT19_i511_S33_L005_R1_001.fastq	M11021072	4m	NA	NA	NA	NK	NA	NA	LT19	M11021072 4m  NK  LT19
M11021072_4m__Grans__LT19_sampled_LT19_i512_S34_L005_R1_001.fastq	M11021072	4m	NA	NA	NA	Grans	NA	NA	LT19	M11021072 4m  Grans  LT19
M11021072_4m__T_BM_LT19_sampled_LT19_i514_S35_L005_R1_001.fastq	M11021072	4m	NA	NA	NA	T	NA	BM	LT19	M11021072 4m  T BM LT19
M11021072_4m__B_BM_LT19_sampled_LT19_i515_S36_L005_R1_001.fastq	M11021072	4m	NA	NA	NA	B	NA	BM	LT19	M11021072 4m  B BM LT19
M11021072_4m__Mono_BM_LT19_sampled_LT19_i516_S37_L005_R1_001.fastq	M11021072	4m	NA	NA	NA	Mono	NA	BM	LT19	M11021072 4m  Mono BM LT19
M11021072_4m__NK__BM_LT19_sampled_LT19_i518_S38_L005_R1_001.fastq	M11021072	4m	NA	NA	NA	NK 	NA	BM	LT19	M11021072 4m  NK  BM LT19
M11021072_4m__Grans_BM_LT19_sampled_LT19_i519_S39_L005_R1_001.fastq	M11021072	4m	NA	NA	NA	Grans	NA	BM	LT19	M11021072 4m  Grans BM LT19
M11021072_4m__CD34p_BMR_LT19_sampled_LT19_i520_S40_L005_R1_001.fastq	M11021072	4m	NA	NA	NA	CD34p	NA	BMR	LT19	M11021072 4m  CD34p BMR LT19
M11021072_4m__CD34p_BML_LT19_sampled_LT19_i521_S41_L005_R1_001.fastq	M11021072	4m	NA	NA	NA	CD34p	NA	BML	LT19	M11021072 4m  CD34p BML LT19
M11021072_5m_T_LT21_sampled_LT21_i524_S44_L007_R1_001.fastq	M11021072	5m	NA	NA	NA	T	NA	NA	LT21	M11021072 5m T LT21
M11021072_5m_B_LT21_sampled_LT21_i526_S45_L007_R1_001.fastq	M11021072	5m	NA	NA	NA	B	NA	NA	LT21	M11021072 5m B LT21
M11021072_5m_Mono_LT21_sampled_LT21_i527_S46_L007_R1_001.fastq	M11021072	5m	NA	NA	NA	Mono	NA	NA	LT21	M11021072 5m Mono LT21
M11021072_5m_NK_LT21_sampled_LT21_i528_S47_L007_R1_001.fastq	M11021072	5m	NA	NA	NA	NK	NA	NA	LT21	M11021072 5m NK LT21
M11021072_5m_Grans_LT21_sampled_LT21_i529_S48_L007_R1_001.fastq	M11021072	5m	NA	NA	NA	Grans	NA	NA	LT21	M11021072 5m Grans LT21
M11021072_6m_T_LT22_sampled_LT22_i501_S1_L004_R1_001.fastq	M11021072	6m	NA	NA	NA	T	NA	NA	LT22	M11021072 6m T LT22
M11021072_6m_B_LT22_sampled_LT22_i502_S2_L004_R1_001.fastq	M11021072	6m	NA	NA	NA	B	NA	NA	LT22	M11021072 6m B LT22
M11021072_6m_Mono_LT22_sampled_LT22_i503_S3_L004_R1_001.fastq	M11021072	6m	NA	NA	NA	Mono	NA	NA	LT22	M11021072 6m Mono LT22
M11021072_6m_NK__LT22_sampled_LT22_i504_S4_L004_R1_001.fastq	M11021072	6m	NA	NA	NA	NK 	NA	NA	LT22	M11021072 6m NK  LT22
M11021072_6m_Grans_LT22_sampled_LT22_i505_S5_L004_R1_001.fastq	M11021072	6m	NA	NA	NA	Grans	NA	NA	LT22	M11021072 6m Grans LT22
M11021072_7m_T_cell_LT26_sampled_LT26_i501_S25_L008_R1_001.fastq	M11021072	7m	NA	NA	NA	T cell	NA	NA	LT26	M11021072 7m T cell LT26
M11021072_7m_B_cell_LT26_sampled_LT26_i502_S26_L008_R1_001.fastq	M11021072	7m	NA	NA	NA	B cell	NA	NA	LT26	M11021072 7m B cell LT26
M11021072_7m_Mono_LT26_sampled_LT26_i503_S27_L008_R1_001.fastq	M11021072	7m	NA	NA	NA	Mono	NA	NA	LT26	M11021072 7m Mono LT26
M11021072_7m_NK_LT26_sampled_LT26_i504_S28_L008_R1_001.fastq	M11021072	7m	NA	NA	NA	NK	NA	NA	LT26	M11021072 7m NK LT26
M11021072_7m_Grans_LT26_sampled_LT26_i505_S29_L008_R1_001.fastq	M11021072	7m	NA	NA	NA	Grans	NA	NA	LT26	M11021072 7m Grans LT26
M11021072_8m_T_cell_LT26_sampled_LT26_i506_S30_L008_R1_001.fastq	M11021072	8m	NA	NA	NA	T cell	NA	NA	LT26	M11021072 8m T cell LT26
M11021072_8m_B_cell_LT26_sampled_LT26_i507_S31_L008_R1_001.fastq	M11021072	8m	NA	NA	NA	B cell	NA	NA	LT26	M11021072 8m B cell LT26
M11021072_8m_Mono_LT26_sampled_LT26_i510_S32_L008_R1_001.fastq	M11021072	8m	NA	NA	NA	Mono	NA	NA	LT26	M11021072 8m Mono LT26
M11021072_8m_NK_LT26_sampled_LT26_i511_S33_L008_R1_001.fastq	M11021072	8m	NA	NA	NA	NK	NA	NA	LT26	M11021072 8m NK LT26
M11021072_8m_Grans_LT26_sampled_LT26_i512_S34_L008_R1_001.fastq	M11021072	8m	NA	NA	NA	Grans	NA	NA	LT26	M11021072 8m Grans LT26
M11021072_2hm_Mono_LT26_sampled_LT26_i514_S35_L008_R1_001.fastq	M11021072	2hm	NA	NA	NA	Mono	NA	NA	LT26	M11021072 2hm Mono LT26
M11021072_6hm_NK_LT26_sampled_LT26_i527_S46_L008_R1_001.fastq	M11021072	6hm	NA	NA	NA	NK	NA	NA	LT26	M11021072 6hm NK LT26
M11021072_9m_T_cell_LT26_sampled_LT26_i528_S47_L008_R1_001.fastq	M11021072	9m	NA	NA	NA	T cell	NA	NA	LT26	M11021072 9m T cell LT26
M11021072_9m_B_cell_LT26_sampled_LT26_i529_S48_L008_R1_001.fastq	M11021072	9m	NA	NA	NA	B cell	NA	NA	LT26	M11021072 9m B cell LT26
M11021072_10m_T__LT28_sampled_LT28_i501_S97_L006_R1_001.fastq	M11021072	10m	NA	NA	NA	T	NA	NA	LT28	M11021072 10m T  LT28
M11021072_10m_B__LT28_sampled_LT28_i504_S100_L006_R1_001.fastq	M11021072	10m	NA	NA	NA	B	NA	NA	LT28	M11021072 10m B  LT28
M11021072_10m_Mono__LT28_sampled_LT28_i505_S101_L006_R1_001.fastq	M11021072	10m	NA	NA	NA	Mono	NA	NA	LT28	M11021072 10m Mono  LT28
M11021072_10m_NK__LT28_sampled_LT28_i506_S102_L006_R1_001.fastq	M11021072	10m	NA	NA	NA	NK	NA	NA	LT28	M11021072 10m NK  LT28
M11021072_10m_Grans__LT28_sampled_LT28_i507_S103_L006_R1_001.fastq	M11021072	10m	NA	NA	NA	Grans	NA	NA	LT28	M11021072 10m Grans  LT28
M11021072_9m_Mono__LT28_sampled_LT28_i510_S104_L006_R1_001.fastq	M11021072	9m	NA	NA	NA	Mono	NA	NA	LT28	M11021072 9m Mono  LT28
M11021072_10m_____T____CD171_sampled_CD171_i501_S1_L008_R1_001.fastq	M11021072	10m	NA	NA	NA	T	NA	NA	CD171	M11021072 10m     T    CD171
M11021072_9m__NK___CD171_sampled_CD171_i502_S2_L008_R1_001.fastq	M11021072	9m	NA	NA	NA	NK	NA	NA	CD171	M11021072 9m  NK   CD171
M11021072_9m__Gr___CD171_sampled_CD171_i503_S3_L008_R1_001.fastq	M11021072	9m	NA	NA	NA	Gr	NA	NA	CD171	M11021072 9m  Gr   CD171
M11021072_10m__B___CD171_sampled_CD171_i504_S4_L008_R1_001.fastq	M11021072	10m	NA	NA	NA	B	NA	NA	CD171	M11021072 10m  B   CD171
M11021072_10m__Mono___CD171_sampled_CD171_i505_S5_L008_R1_001.fastq	M11021072	10m	NA	NA	NA	Mono	NA	NA	CD171	M11021072 10m  Mono   CD171
M11021072_10m__NK___CD171_sampled_CD171_i506_S6_L008_R1_001.fastq	M11021072	10m	NA	NA	NA	NK	NA	NA	CD171	M11021072 10m  NK   CD171
M11021072_10m__Gr___CD171_sampled_CD171_i507_S7_L008_R1_001.fastq	M11021072	10m	NA	NA	NA	Gr	NA	NA	CD171	M11021072 10m  Gr   CD171
M11021072_9m__Mono___CD171_sampled_CD171_i510_S8_L008_R1_001.fastq	M11021072	9m	NA	NA	NA	Mono	NA	NA	CD171	M11021072 9m  Mono   CD171
M11021072_11m__T____CD174_sampled_I503_S1_L001_R1_001.fastq	M11021072	11m	NA	NA	NA	T	 	NA	CD174	M11021072 11m  T    CD174
M11021072_11m__B___CD174_sampled_I504_S2_L001_R1_001.fastq	M11021072	11m	NA	NA	NA	B	NA	NA	CD174	M11021072 11m  B   CD174
M11021072_11m__Mono___CD174_sampled_I505_S3_L001_R1_001.fastq	M11021072	11m	NA	NA	NA	Mono	NA	NA	CD174	M11021072 11m  Mono   CD174
M11021072_11m__NK___CD174_sampled_I506_S4_L001_R1_001.fastq	M11021072	11m	NA	NA	NA	NK	NA	NA	CD174	M11021072 11m  NK   CD174
M11021072_11m__Gr___CD174_sampled_I507_S5_L001_R1_001.fastq	M11021072	11m	NA	NA	NA	Gr	NA	NA	CD174	M11021072 11m  Gr   CD174
M11021072_12m__T___CD174_sampled_I510_S6_L001_R1_001.fastq	M11021072	12m	NA	NA	NA	T	NA	NA	CD174	M11021072 12m  T   CD174
M11021072_12m__B___CD174_sampled_I511_S7_L001_R1_001.fastq	M11021072	12m	NA	NA	NA	B	NA	NA	CD174	M11021072 12m  B   CD174
M11021072_12m__Mono___CD174_sampled_I512_S8_L001_R1_001.fastq	M11021072	12m	NA	NA	NA	Mono	NA	NA	CD174	M11021072 12m  Mono   CD174
M11021072_12m__NK___CD174_sampled_I514_S9_L001_R1_001.fastq	M11021072	12m	NA	NA	NA	NK	NA	NA	CD174	M11021072 12m  NK   CD174
M11021072_12m__Gr___CD174_sampled_I515_S10_L001_R1_001.fastq	M11021072	12m	NA	NA	NA	Gr	NA	NA	CD174	M11021072 12m  Gr   CD174
M11021072_13m__T___CD174_sampled_I516_S11_L001_R1_001.fastq	M11021072	13m	NA	NA	NA	T	NA	NA	CD174	M11021072 13m  T   CD174
M11021072_13m__B___CD174_sampled_I518_S12_L001_R1_001.fastq	M11021072	13m	NA	NA	NA	B	NA	NA	CD174	M11021072 13m  B   CD174
M11021072_13m__Mono___CD174_sampled_I519_S13_L001_R1_001.fastq	M11021072	13m	NA	NA	NA	Mono	NA	NA	CD174	M11021072 13m  Mono   CD174
M11021072_13m__NK___CD174_sampled_I520_S14_L001_R1_001.fastq	M11021072	13m	NA	NA	NA	NK	NA	NA	CD174	M11021072 13m  NK   CD174
M11021072_13m__Gr___CD174_sampled_I521_S15_L001_R1_001.fastq	M11021072	13m	NA	NA	NA	Gr	NA	NA	CD174	M11021072 13m  Gr   CD174
M11021072_14m__T___CD174_sampled_I522_S16_L001_R1_001.fastq	M11021072	14m	NA	NA	NA	T	NA	NA	CD174	M11021072 14m  T   CD174
M11021072_14m__B___CD174_sampled_I523_S17_L001_R1_001.fastq	M11021072	14m	NA	NA	NA	B	NA	NA	CD174	M11021072 14m  B   CD174
M11021072_14m__Mono___CD174_sampled_I524_S18_L001_R1_001.fastq	M11021072	14m	NA	NA	NA	Mono	NA	NA	CD174	M11021072 14m  Mono   CD174
M11021072_14m__NK___CD174_sampled_I526_S19_L001_R1_001.fastq	M11021072	14m	NA	NA	NA	NK	NA	NA	CD174	M11021072 14m  NK   CD174
M11021072_14m__Gr___CD174_sampled_I527_S20_L001_R1_001.fastq	M11021072	14m	NA	NA	NA	Gr	NA	NA	CD174	M11021072 14m  Gr   CD174
M11021072_15m__T___CD175_sampled_I516_S13_L001_R1_001.fastq	M11021072	15m	NA	NA	NA	T	NA	NA	CD175	M11021072 15m  T   CD175
M11021072_15m__B___CD175_sampled_I518_S14_L001_R1_001.fastq	M11021072	15m	NA	NA	NA	B	NA	NA	CD175	M11021072 15m  B   CD175
M11021072_15m__Mono___CD175_sampled_I519_S15_L001_R1_001.fastq	M11021072	15m	NA	NA	NA	Mono	NA	NA	CD175	M11021072 15m  Mono   CD175
M11021072_15m__NK___CD175_sampled_I520_S16_L001_R1_001.fastq	M11021072	15m	NA	NA	NA	NK	NA	NA	CD175	M11021072 15m  NK   CD175
M11021072_15m__Gr___CD175_sampled_I521_S17_L001_R1_001.fastq	M11021072	15m	NA	NA	NA	Gr	NA	NA	CD175	M11021072 15m  Gr   CD175
M11021072_15m__CD34pos__BMR_CD175_sampled_I522_S18_L001_R1_001.fastq	M11021072	15m	NA	NA	NA	CD34pos	NA	BMR	CD175	M11021072 15m  CD34pos  BMR CD175
M11021072_15m__CD34pos__BML_CD175_sampled_I523_S19_L001_R1_001.fastq	M11021072	15m	NA	NA	NA	CD34pos	NA	BML	CD175	M11021072 15m  CD34pos  BML CD175
M11021072_15m__CD34neg__BMR_CD175_sampled_I524_S20_L001_R1_001.fastq	M11021072	15m	NA	NA	NA	CD34neg	NA	BMR	CD175	M11021072 15m  CD34neg  BMR CD175
M11021072_15m__CD34neg__BML_CD175_sampled_I526_S21_L001_R1_001.fastq	M11021072	15m	NA	NA	NA	CD34neg	NA	BML	CD175	M11021072 15m  CD34neg  BML CD175
M11021072_15m__Grpos__BMR_CD175_sampled_I527_S22_L001_R1_001.fastq	M11021072	15m	NA	NA	NA	Grpos	NA	BMR	CD175	M11021072 15m  Grpos  BMR CD175
M11021072_15m__Grpos__BML_CD175_sampled_I528_S23_L001_R1_001.fastq	M11021072	15m	NA	NA	NA	Grpos	NA	BML	CD175	M11021072 15m  Grpos  BML CD175
M11021072_15m__Grpos__BMRL_CD175_sampled_I529_S24_L001_R1_001.fastq	M11021072	15m	NA	NA	NA	Grpos	NA	BMRL	CD175	M11021072 15m  Grpos  BMRL CD175
