FILENAME	Monkey	Month..round.	Year	Month	Day	Cell.Type	Experiment	Other	Run	GIVENNAME
SP9_R29_ZJ25_4_5m_CD34pos_rightBM.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5m RBM CD34p
SP9_R44_ZJ25_4_5m_grans_rightBM.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5m RBM Gr
SP10_R4_ZJ25_4m_Bcells.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	4m B
SP10_R5_ZJ25_4m_Mono.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	4m Mono
SP10_R6_ZJ25_4m_CD16NKcells.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	4m NK CD16
SP10_R3_ZJ25_4m_Tcells.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	4m T
SP11_R10_ZJ25_5m_Bcells.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	5m B
SP11_R7_ZJ25_5m_GFPposgrans.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	5m Gr
SP11_R11_ZJ25_5m_Monos.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	5m Mono
SP11_R12_ZJ25_5m_NK.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	5m NK
SP11_R9_ZJ25_5m_Tcells.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	5m T
SP12_R4_ZJ25_6mnthBcells.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	6m B
SP12_R5_ZJ25_6mnthMonocytes.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	6m Mono
SP12_R6_ZJ25_6mnthCD16posNK.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	6m NK CD16
SP12_R3_ZJ25_6mnthTcells.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	6m T
pp_50trim_AD8_zj25_7m_B.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	7m B
zj25_7m_B_pp_50trim_SP16_R5_FIRSTRUN.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	7m B SP16
pp_50trim_AD8_zj25_7m_Gr_GFPp.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	7m Gr
pp_50trim_AD8_zj25_7m_Mono.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	7m Mono
pp_50trim_AD8_zj25_7m_NK_CD16sp.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	7m NK CD16
pp_50trim_AD8_zj25_7m_T.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	7m T
Sandy_pp_50trim_VD_09_R25.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sandy New ZJ25
pp_50trim_SS1_ZJ25_R14_17m_T.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	17m T SS1
pp_50trim_SS1_ZJ25_R17_17m_B.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	17m B SS1
pp_50trim_SS1_ZJ25_R18_17m_Grans.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	17m Gr SS1
pp_50trim_SS1_ZJ25_R19_17m_Mono.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	17m Mono SS1
pp_50trim_SS1_ZJ25_R20_17m_NK.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	17m NK SS1
pp_50trim_SS2_ZJ25_R14_17m_T.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	17m T SS2
pp_50trim_SS2_ZJ25_R18_17m_Grans.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	17m Gr SS2
pp_50trim_SS2_ZJ25_R19_17m_Mono.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	17m Mono SS2
pp_50trim_SS2_ZJ25_R20_17m_NK.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	17m NK SS2
pp_50trim_SS4_ZJ25_R2_18m_T.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	18m T
pp_50trim_SS4_ZJ25_R3_18m_B.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	18m B
pp_50trim_SS4_ZJ25_R4_18m_Mono.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	18m Mono
pp_50trim_SS4_ZJ25_R5_18m_NK.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	18m NK
pp_50trim_SS4_ZJ25_R6_18m_Grans.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	18m Gr
sampled_trimmed_ZJ25_1m_MNC_SS6_R17.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	1m MNC SS6
sampled_trimmed_ZJ25_1m_T_cell_SS7_R17.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	1m T SS7
sampled_trimmed_ZJ25_1m_T_MONO_SS7_R20.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	1m Mono SS7
sampled_trimmed_ZJ25_2m_MNC_SS6_R18.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	2m MNC SS6
sampled_trimmed_ZJ25_2m_T_NK_cell_SS7_R18.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	2m NK SS7
pp_50trim_ZJ25_SS5_R21_20m_T_cell_SS5_R21.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	20m T SS5
pp_50trim_ZJ25_SS5_R22_20m_B_cell_SS5_R22.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	20m B SS5
pp_50trim_ZJ25_SS5_R23_20m_Mono_SS5_R23.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	20m Mono SS5
pp_50trim_ZJ25_SS5_R24_20m_NK_cell_SS5_R24.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	20m NK SS5
pp_50trim_ZJ25_SS5_R26_20m_Grans_SS5_R26.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	20m Gr SS5
sampled_trimmed_ZJ25_22m_B_N702_DE2218_SS8_4_S85_L008_R1_001.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	22m B SS8
sampled_trimmed_ZJ25_22m_Gr_N705_DE2218_SS8_1_S82_L008_R1_001.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	22m Gr SS8
sampled_trimmed_ZJ25_22m_Mono_N703_DE2218_SS8_2_S83_L008_R1_001.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	22m Mono SS8
sampled_trimmed_ZJ25_22m_NK_N704_DE2218_SS8_5_S86_L008_R1_001.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	22m NK SS8
sampled_trimmed_ZJ25_22m_T_N701_DE2218_SS8_3_S84_L008_R1_001.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	22m T SS8
ZJ25_44m_T_cell_LT26_sampled_LT26_i515_S36_L008_R1_001.fastq	ZJ25	44m	NA	NA	NA	T cell	NA	NA	LT26	ZJ25 44m T cell LT26
ZJ25_44m_B_cell_LT26_sampled_LT26_i516_S37_L008_R1_001.fastq	ZJ25	44m	NA	NA	NA	B cell	NA	NA	LT26	ZJ25 44m B cell LT26
ZJ25_44m_Mono_LT26_sampled_LT26_i518_S38_L008_R1_001.fastq	ZJ25	44m	NA	NA	NA	Mono	NA	NA	LT26	ZJ25 44m Mono LT26
ZJ25_44m_NK_LT26_sampled_LT26_i519_S39_L008_R1_001.fastq	ZJ25	44m	NA	NA	NA	NK	NA	NA	LT26	ZJ25 44m NK LT26
ZJ25_44m_Grans_LT26_sampled_LT26_i520_S40_L008_R1_001.fastq	ZJ25	44m	NA	NA	NA	Grans	NA	NA	LT26	ZJ25 44m Grans LT26
ZJ25_45m_T_cell_LT26_sampled_LT26_i521_S41_L008_R1_001.fastq	ZJ25	45m	NA	NA	NA	T cell	NA	NA	LT26	ZJ25 45m T cell LT26
ZJ25_45m_B_cell_LT26_sampled_LT26_i522_S42_L008_R1_001.fastq	ZJ25	45m	NA	NA	NA	B cell	NA	NA	LT26	ZJ25 45m B cell LT26
ZJ25_45m_Mono_LT26_sampled_LT26_i523_S43_L008_R1_001.fastq	ZJ25	45m	NA	NA	NA	Mono	NA	NA	LT26	ZJ25 45m Mono LT26
ZJ25_45m_NK_LT26_sampled_LT26_i524_S44_L008_R1_001.fastq	ZJ25	45m	NA	NA	NA	NK	NA	NA	LT26	ZJ25 45m NK LT26
ZJ25_45m_Grans_LT26_sampled_LT26_i526_S45_L008_R1_001.fastq	ZJ25	45m	NA	NA	NA	Grans	NA	NA	LT26	ZJ25 45m Grans LT26
ZJ25_51m__T___CD175_sampled_I501_S1_L001_R1_001.fastq	ZJ25	51m	NA	NA	NA	T	NA	NA	CD175	ZJ25 51m  T   CD175
ZJ25_51m__B___CD175_sampled_I502_S2_L001_R1_001.fastq	ZJ25	51m	NA	NA	NA	B	NA	NA	CD175	ZJ25 51m  B   CD175
ZJ25_51m__Mono___CD175_sampled_I503_S3_L001_R1_001.fastq	ZJ25	51m	NA	NA	NA	Mono	NA	NA	CD175	ZJ25 51m  Mono   CD175
ZJ25_51m__NK___CD175_sampled_I504_S4_L001_R1_001.fastq	ZJ25	51m	NA	NA	NA	NK	NA	NA	CD175	ZJ25 51m  NK   CD175
ZJ25_51m__Gr___CD175_sampled_I505_S5_L001_R1_001.fastq	ZJ25	51m	NA	NA	NA	Gr	NA	NA	CD175	ZJ25 51m  Gr   CD175
ZJ25_51m__CD34pos__BMR_CD175_sampled_I506_S6_L001_R1_001.fastq	ZJ25	51m	NA	NA	NA	CD34pos	NA	BMR	CD175	ZJ25 51m  CD34pos  BMR CD175
ZJ25_51m__CD34pos__BML_CD175_sampled_I507_S7_L001_R1_001.fastq	ZJ25	51m	NA	NA	NA	CD34pos	NA	BML	CD175	ZJ25 51m  CD34pos  BML CD175
ZJ25_51m__CD34neg__BMR_CD175_sampled_I510_S8_L001_R1_001.fastq	ZJ25	51m	NA	NA	NA	CD34neg	NA	BMR	CD175	ZJ25 51m  CD34neg  BMR CD175
ZJ25_51m__CD34neg__BML_CD175_sampled_I511_S9_L001_R1_001.fastq	ZJ25	51m	NA	NA	NA	CD34neg	NA	BML	CD175	ZJ25 51m  CD34neg  BML CD175
ZJ25_51m__Grpos__BMR_CD175_sampled_I512_S10_L001_R1_001.fastq	ZJ25	51m	NA	NA	NA	Grpos	NA	BMR	CD175	ZJ25 51m  Grpos  BMR CD175
ZJ25_51m__Grpos__BML_CD175_sampled_I514_S11_L001_R1_001.fastq	ZJ25	51m	NA	NA	NA	Grpos	NA	BML	CD175	ZJ25 51m  Grpos  BML CD175
ZJ25_51m__Grpos__BMRL_CD175_sampled_I515_S12_L001_R1_001.fastq	ZJ25	51m	NA	NA	NA	Grpos	NA	BMRL	CD175	ZJ25 51m  Grpos  BMRL CD175
